A ^at++++=A
total ^nn++++=total
of ^in++++=of
3,218 ^cd++++=3,218
specimens ^nns++++=specimens
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
to ^in++++=to
either ^dtx++++=either
genus ^nns+++??+=genus
or ^cc++++=or
species ^nn++++=species-level.
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
most ^ql+emph+++=most
abundant ^jj+atrb+++=abundant
genera ^nns++++=genera
were ^vbd+bed+vrb++=were
Trichophoromyia ^np+++??+=Trichophoromyia
( ^zz++++=(20%),
20% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Nyssomyia ^np+++??+=Nyssomyia
( ^zz++++=(13%)
13 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Psathyromyia ^np+++??+=Psathyromyia
( ^zz++++=(11%).
11% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
most ^ql+emph+++=most
abundant ^jj+atrb+++=abundant
species ^nn++++=species
were ^vbd+bed+vrb++=were
T ^zz++++=T.
. ^zz++++=EXTRAWORD
brachipyga ^nn+++??+=brachipyga
( ^zz++++=(14%),
14% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
Pa ^nn++++=Pa.
. ^zz++++=EXTRAWORD
dreisbachi ^nn+++??+=dreisbachi
( ^zz++++=(9%)
9 ^zz++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
nyssomyia ^np++++=Nyssomyia
pajoti ^nn++++=pajoti
( ^zz++++=(6%).
6% ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
