Informal ^jj+atrb+++=Informal
care ^nn++++=care,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
care ^vb+vprv+++=care
provided ^vbd+vsua++xvbn+=provided,
, ^zz++++=EXTRAWORD
often ^rb++++=often
without ^in++++=without
pay ^nn++++=pay,
, ^zz++++=EXTRAWORD
by ^in++++=by
people ^nns++++=people
who ^whp+rel+subj++=who
have ^vb+hv+vrb++=have
a ^at++++=a
preexisting ^jj+atrb++xvbg+=preexisting
personal ^jj+atrb+++=personal
relationship ^nn+nom+++=relationship
with ^in++++=with
the ^ati++++=the
care ^nn++++=care
recipient ^nn++++=recipient,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
viewed ^vpsv++agls+xvbnx+=viewed
as ^ql++++=as
an ^at++++=an
alternative ^nn++++=alternative
to ^to++++=to
paid ^vbi++++=paid
formal ^jj+atrb+++=formal
care ^nn++++=care,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
research ^nn++++=research
on ^in++++=on
informal ^jj+atrb+++=informal
care ^nn++++=care
has ^vbz+hvz+aux++=has
focused ^vprf+++xvbnx+=focused
predominantly ^rb++++=predominantly
on ^in++++=on
caregiver ^jjr+atrb+++=caregiver
outcomes ^nns+++??+=outcomes.
. ^zz++++=EXTRAWORD
Relying ^vbg+++xvbg+=Relying
on ^in++++=on
informal ^jj+atrb+++=informal
care ^nn++++=care
was ^vbd+bedz+vrb++=was
historically ^rb++++=historically
a ^at++++=a
default ^jj+atrb++xvbn+=default
policy ^nn++++=policy
option ^nn++++=option
in ^in++++=in
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
systematic ^jj++++=systematic
funding ^jj+++xvbg+=funding
for ^in++++=for
formal ^jj+atrb+++=formal
care ^nn++++=care
( ^zz++++=(
119 ^cd++++=119
) ^zz++++=).
. ^zz++++=EXTRAWORD
Viewing ^vbg+++xvbg+=Viewing
informal ^jj+atrb+++=informal
care ^nn++++=care
as ^ql++++=as
the ^ati++++=the
default ^vwbn+++xvbn+=default
may ^md+pos+++=may
be ^vb+be+vrb++=be
increasingly ^rb++++=increasingly
untenable ^jj+pred+++=untenable
as ^in++++=as
