Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
result ^nn++++=result
of ^in++++=of
both ^abx++++=both
epistemic ^nn+++??+=epistemic
and ^cc++++=and
ideological ^jj+atrb+++=ideological
stance ^nn++++=stance-taking
- ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=EXTRAWORD
practices ^nns++++=practices,
, ^zz++++=EXTRAWORD
speakers ^nns++++=speakers
may ^md+pos+++=may
use ^vb++++=use
linguistic ^jj+atrb+++=linguistic
variation ^nn++++=variation
to ^to++++=to
reflect ^vbi+vprv+++=reflect
their ^pp$+pp3+++=their
position ^nn++++=position
in ^in++++=in
relation ^nn++++=relation
to ^in++++=to
the ^ati++++=the
issues ^nns++++=issues
and ^cc++++=and
individuals ^nns++++=individuals
involved ^vbd+++xvbn+=involved
in ^in++++=in
particular ^jj+atrb+++=particular
narrative ^nn++++=narrative
context ^nn++++=context
( ^zz++++=(
Kiesling ^np++++=Kiesling
2009 ^cd++++=2009
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
current ^jj+atrb+++=current
study ^nn++++=study,
, ^zz++++=EXTRAWORD
Bwi ^np+++??+=BWI
young ^jj+atrb+++=young
men ^nns++++=men
have ^vb+hv+vrb++=have
clear ^jj+atrb+++=clear
motivations ^nns++++=motivations
to ^to++++=to
adhere ^vbi++++=adhere
to ^in++++=to
a ^at++++=a
more ^rbr++++=more
Muse ^nn++++=MUSE-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
intonational ^nn+++??+=intonational
pattern ^nn++++=pattern
when ^wrb+who+++=when
discussing ^jj+atrb++xvbg+=discussing
law ^nn++++=law
enforcement ^nn++++=enforcement:
: ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
express ^jjb++++=express
a ^at++++=a
high ^jj+atrb+++=high
degree ^nn++++=degree
of ^in++++=of
awareness ^nn++++=awareness
of ^in++++=of
their ^pp$+pp3+++=their
social ^jj+atrb+++=social
identities ^nns+++??+=identities
in ^in++++=in
interactions ^nns++++=interactions
with ^in++++=with
police ^nns++++=police.
. ^zz++++=EXTRAWORD
As ^ql++++=As
these ^dt+dem+++=these
speakers ^nns++++=speakers
have ^vb+hv+vrb++=have
the ^ati++++=the
ability ^nn++++=ability
to ^to+ncmp+++=to
shift ^vbi++++=shift
between ^in++++=between
intonational ^nn+++??+=intonational
patterns ^nns++++=patterns
associated ^vbd+++xvbn+=associated
with ^in++++=with
Muse ^nn++++=MUSE
and ^cc++++=and
Aal ^np+++??+=AAL,
, ^zz++++=EXTRAWORD
the ^ati++++=the
results ^nns++++=results
indicate ^vb+vprv+++=indicate
a ^at++++=a
movement ^nn++++=movement
toward ^in++++=toward
a ^at++++=a
standard ^jj+atrb+++=standard
linguistic ^jj+atrb+++=linguistic
style ^nn++++=style
which ^whp+rel+subj++=which
employs ^vbz++++=employs
more ^rbr++++=more
Muse ^nn++++=MUSE-linked
- ^zz++++=EXTRAWORD
linked ^xvbn+++xvbn+=EXTRAWORD
features ^nns++++=features,
, ^zz++++=EXTRAWORD
paralleling ^vbg+++xvbg+=paralleling
the ^ati++++=the
speakers ^nns++++=speakers
in ^in++++=in
Holliday ^np+++??+=Holliday
and ^cc++++=and
Squires ^np++++=Squires
( ^zz++++=(forthcoming)
forthcoming ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=.
Indeed ^qlp++++=Indeed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
the ^ati++++=the
young ^jj+atrb+++=young
men ^nns++++=men
also ^rb++++=also
specifically ^rb++++=specifically
discuss ^vb++++=discuss
hyperawareness ^nns+++??+=hyperawareness
of ^in++++=of
their ^pp$+pp3+++=their
race ^nn++++=race
and ^cc++++=and
the ^ati++++=the
way ^nn++++=way
that ^tht+rel+obj++=that
it ^pp3+it+++=it
may ^md+pos+++=may
place ^vb++++=place
them ^pp3o+pp3+++=them
in ^in++++=in
danger ^nn++++=danger
in ^in++++=in
law ^nn++++=law
enforcement ^nn++++=enforcement
contexts ^nns++++=contexts
indicates ^vbz+vpub+++=indicates
a ^at++++=a
particular ^jj+atrb+++=particular
sensitivity ^nn++++=sensitivity
to ^in++++=to
their ^pp$+pp3+++=their
sociolinguistic ^nn+++??+=sociolinguistic
position ^nn++++=position
vis ^&fw++++=vis-vis
- ^zz++++=EXTRAWORD
vis ^&fw++++=EXTRAWORD
the ^ati++++=the
police ^nns++++=police.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
an ^at++++=an
important ^jj++++=important
finding ^jj+++xvbg+=finding
for ^in++++=for
research ^nn++++=research
that ^tht+rel+subj++=that
focuses ^vbz++++=focuses
on ^in++++=on
individuals ^nns++++=individuals
with ^in++++=with
multiple ^nn++++=multiple
and ^cc++++=and/or
complex ^jj+atrb+++=complex
racial ^jj+atrb+++=racial
identities ^nns+++??+=identities,
, ^zz++++=EXTRAWORD
since ^in++++=since
the ^ati++++=the
context ^nn++++=context
that ^tht+rel+obj++=that
may ^md+pos+++=may
trigger ^vb++++=trigger
their ^pp$+pp3+++=their
use ^nn++++=use
of ^in++++=of
specifically ^rb++++=specifically
ethnically ^rb++++=ethnically-linked
- ^zz++++=EXTRAWORD
linked ^xvbn+++xvbn+=EXTRAWORD
variables ^nns++++=variables
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
always ^rb++++=always
predictable ^jj++++=predictable,
, ^zz++++=EXTRAWORD
clear ^jj++++=clear,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
well ^rb++++=well-understood.
- ^zz++++=EXTRAWORD
understood ^vbd+vprv++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
Examining ^vbg+++xvbg+=Examining
linguistic ^jj+atrb+++=linguistic
patterns ^nns++++=patterns
driven ^vwbn+++xvbn+=driven
by ^in++++=by
audience ^nn++++=audience
and ^cc++++=and
referee ^nn++++=referee
provides ^vbz+vsua+++=provides
us ^pp1o+pp1+++=us
with ^in++++=with
a ^at++++=a
new ^jj+atrb+++=new
approach ^nn++++=approach
for ^in++++=for
understanding ^xvbg+++xvbg+=understanding
speakers ^nns++++=speakers
who ^whp+rel+obj++=who
may ^md+pos+++=may
challenge ^vb++++=challenge
our ^pp$+pp1+++=our
traditional ^jj+atrb+++=traditional
conceptualizations ^nns+++??+=conceptualizations
of ^in++++=of
language ^nn++++=language
and ^cc++++=and
race ^nn++++=race.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
therefore ^rb+cnj+++=therefore
provide ^vb+vsua+++=provide
further ^jjb+atrb+++=further
motivation ^nn++++=motivation
for ^in++++=for
sociolinguists ^nns+++??+=sociolinguists
interested ^jj++++=interested
in ^in++++=in
both ^abx++++=both
ethnolinguistic ^jj+atrb++??+=ethnolinguistic
variation ^nn++++=variation
and ^cc++++=and
style ^nn++++=style
to ^to++++=to
pay ^vbi++++=pay
greater ^jjr+atrb+++=greater
attention ^nn++++=attention
to ^in++++=to
audience ^nn++++=audience
and ^cc++++=and
referee ^nn++++=referee
design ^nn++++=design
effects ^nns++++=effects
and ^cc+cls+++=and
how ^wrb+who+++=how
they ^pp3a+pp3+++=they
may ^md+pos+++=may
influence ^vb++++=influence
a ^at++++=a
speaker ^npt++++=speaker
s ^zz++++=s
use ^nn++++=use
of ^in++++=of
variables ^nns++++=variables
linked ^vbd+++xvbn+=linked
with ^in++++=with
different ^jj+atrb+++=different
sociolinguistic ^nn++++=sociolinguistic
communities ^nns++++=communities
and ^cc++++=and
identities ^nns++++=identities.
. ^zz++++=EXTRAWORD
