Linear ^jj+atrb+++=Linear
mixed ^jj+atrb++xvbn+=mixed
effects ^nns++++=effects
regression ^nn++++=regression
( ^zz++++=(
Bates ^np++++=Bates
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014
) ^zz++++=)
corroborates ^nns+nom+++=corroborates
this ^dt+dem+++=this
initial ^jj+atrb+++=initial
inspection ^nn+nom+++=inspection.
. ^zz++++=EXTRAWORD
A ^at++++=A
mixed ^jj+atrb++xvbn+=mixed
effects ^nns++++=effects
model ^nn++++=model
was ^vbd+bedz+aux++=was
initially ^rb+tm+splt++=initially
run ^vpsv++agls+xvbnx+=run
in ^in++++=in
which ^whp+rel+pied++=which
following ^jj+atrb++xvbg+=following
environment ^nn+nom+++=environment
, ^zz++++=,
preceding ^vbg+++xvbg+=preceding
manner ^nn++++=manner
of ^in++++=of
articulation ^nn+nom+++=articulation
, ^zz++++=,
preceding ^vbg+++xvbg+=preceding
place ^nn++++=place
of ^in++++=of
articulation ^nn+nom+++=articulation
, ^zz++++=,
preceding ^xvbg+++xvbg+=preceding
voicing ^vbg+++xvbg+=voicing
, ^zz++++=,
vowel ^nn+++??+=vowel
, ^zz++++=,
word ^nn++++=word
frequency ^nn++++=frequency
, ^zz++++=,
function ^nn+nom+++=function
word ^nn++++=word
, ^zz++++=,
and ^cc+cls+++=and
speaker ^nn++++=speaker
age ^nn++++=age
were ^vbd+bed+aux++=were
fixed ^vpsv++agls+xvbnx+=fixed
effects ^nns++++=effects,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
speaker ^nn++++=speaker
and ^cc++++=and
lexical ^jj+atrb+++=lexical
item ^nn++++=item
were ^vbd+bed+vrb++=were
random ^rb++++=random
effects ^nns++++=effects.
. ^zz++++=EXTRAWORD
Interactions ^nns+nom++??+=Interactions
between ^in++++=between
vowel ^nn+++??+=vowel
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
fixed ^jj+atrb++xvbn+=fixed
effects ^nns++++=effects
were ^vbd+bed+aux++=were
also ^rb++splt++=also
considered ^vpsv++agls+xvbnx+=considered
as ^ql++++=as
possible ^jj+atrb+++=possible
fixed ^jj+atrb++xvbn+=fixed
effects ^nns++++=effects
in ^in++++=in
the ^ati++++=the
initial ^jj+atrb+++=initial
model ^nn++++=model.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
may ^md+pos+++=may
only ^rb+down+++=only
expect ^vb+vprv+++=expect
frequency ^nn++++=frequency
effects ^nns++++=effects
to ^to++++=to
occur ^vbi++++=occur
when ^wrb+who+++=when
a ^at++++=a
vowel ^nn+++??+=vowel
is ^vbz+bez+aux++=is
changing ^vbg+++xvbgx+=changing.
. ^zz++++=EXTRAWORD
As ^ql++++=As
such ^abl++++=such,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
also ^rb++++=also
tested ^vbd+++xvbn+=tested
a ^at++++=a
model ^nn++++=model
in ^in++++=in
which ^whp+rel+pied++=which
word ^nn++++=word
frequency ^nn++++=frequency
was ^vbd+bedz+vrb++=was
a ^at++++=a
random ^jj+atrb+++=random
slope ^nn++++=slope
by ^in++++=by
speaker ^npt++++=speaker
, ^zz++++=,
as ^in++++=as
opposed ^in"++++=opposed
to ^in++++=to
a ^at++++=a
fixed ^jj+atrb++xvbn+=fixed
main ^jjb+atrb+++=main
effect ^nn++++=effect.
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
relatively ^rb++++=relatively
few ^ap++++=few
exceptional ^jj++++=exceptional
< ^zz++++=<ar>
ar ^nn+++??+=EXTRAWORD
> ^zz++++=EXTRAWORD
north ^nr+pl+++=north
items ^nns++++=items
and ^cc++++=and
< ^zz++++=<or>
or ^cc++++=EXTRAWORD
> ^zz++++=EXTRAWORD
start ^vb++++=start
items ^nns++++=items,
, ^zz++++=EXTRAWORD
testing ^nvbg+++xvbg+=testing
for ^in++++=for
an ^at++++=an
orthographic ^jj+atrb+++=orthographic
effect ^nn++++=effect
in ^in++++=in
the ^ati++++=the
conversation ^nn+nom+++=conversation
data ^nns++++=data
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
possible ^jj++++=possible.
. ^zz++++=EXTRAWORD
A ^at++++=A
final ^jj+atrb+++=final
model ^nn++++=model
was ^vbd+bedz+aux++=was
selected ^vpsv++agls+xvbnx+=selected
via ^in++++=via
stepdown ^jj+atrb++xvbn+=stepdown
process ^nns+nom+++=process
using ^vwbg+++xvbg+=using
the ^ati++++=the
step ^vb++++=step
function ^nn+nom+++=function
in ^in++++=in
R ^zz++++=R
( ^zz++++=(
R ^zz++++=R
Core ^nn++++=Core
Team ^nn++++=Team
2017 ^cd++++=2017
) ^zz++++=);
; ^zz++++=EXTRAWORD
the ^ati++++=the
final ^jj+atrb+++=final
model ^nn++++=model
eliminated ^vwbn+++xvbn+=eliminated
word ^nn++++=word
frequency ^nn++++=frequency
( ^zz++++=(whether
whether ^cs+who+++=EXTRAWORD
