Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
interesting ^jj+pred+++=interesting
to ^to+jcmp+++=to
consider ^nn+nom+++=consider
the ^ati++++=the
combinations ^nns+nom+++=combinations
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
the ^ati++++=the
most ^ql+emph+++=most
idiomatic ^jj++++=idiomatic
and ^cc++++=and
clearly ^rb++++=clearly
separated ^vbd+++xvbn+=separated
from ^in++++=from
the ^ati++++=the
proposition ^nn+nom+++=proposition,
, ^zz++++=EXTRAWORD
i.e ^rb++++=i.e.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
proportion ^nn+nom+++=proportion
of ^in++++=of
bare ^jj+atrb+++=bare
integration ^nn+nom+++=integration
by ^in++++=by
shell ^nn++++=shell
noun ^nn++++=noun
combined ^vbd+++xvbn+=combined
with ^in++++=with
zero ^cd++++=zero
article ^nn++++=article
( ^zz++++=(
Figure ^np++++=Figure
3 ^zz++++=3
) ^zz++++=)
and ^cc++++=and
combined ^vpsv++agls+xvbn+=combined
with ^in++++=with
punctuation ^nn+nom+++=punctuation
( ^zz++++=(
Figure ^np++++=Figure
4 ^zz++++=4
) ^zz++++=).
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
we ^pp1a+pp1+++=we
look ^vb++++=look
at ^rb++++=at
Figure ^nn++++=Figure
3 ^zz++++=3
, ^zz++++=,
the ^ati++++=the
question ^nn+nom+++=question
arises ^vbz++++=arises
whether ^cs+who+++=whether
omitting ^nvbg+++xvbg+=omitting
both ^abx++++=both
article ^nn++++=article
and ^cc++++=and
complementizer ^jjr++++=complementizer
is ^vbz+bez+vrb++=is
indeed ^rb++++=indeed
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
increased ^jj+atrb++xvbn+=increased
constructionalization ^nn+nom+++=constructionalization.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
this ^dt+pdem+++=this
were ^vbd+bed+vrb++=were
the ^ati++++=the
case ^nn++++=case,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
would ^md+prd+++=would
expect ^vb+vprv+++=expect
the ^ati++++=the
shell ^nn++++=shell
nouns ^nns++++=nouns
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
attested ^jj+pred+++=attested
most ^ql+emph+++=most
frequently ^rb++++=frequently
in ^in++++=in
focalizer ^jjr+atrb+++=focalizer
constructions ^nns+nom+++=constructions
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
fact ^nn++++=fact
and ^cc++++=and
truth ^nn++++=truth
, ^zz++++=,
according ^in+cmpx+++=according
to ^in++++=to
Hundt ^np+++??+=Hundt
& ^zz++++=&
Oppliger ^np+nom++??+=Oppliger
[ ^zz++++=[2022]
2022 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
) ^zz++++=)
to ^to++++=to
show ^vbi+vprv+++=show
the ^ati++++=the
highest ^jjt+atrb+++=highest
proportion ^nn+nom+++=proportion
of ^in++++=of
the ^ati++++=the
maximally ^rb++++=maximally
reduced ^vbd+++xvbn+=reduced
variant ^jj++++=variant
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
omission ^nn++++=omission
of ^in++++=of
both ^abx++++=both
the ^ati++++=the
article ^nn++++=article
and ^cc++++=and
the ^ati++++=the
complementizer ^jjr++++=complementizer
that ^cs+sub+++=that
) ^zz++++=).
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
clearly ^rb++++=clearly
not ^xnot++not++=not
the ^ati++++=the
case ^nn++++=case.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
find ^vb+vprv+++=find
the ^ati++++=the
two ^cd++++=two
shell ^nn++++=shell
nouns ^nns++++=nouns
with ^in++++=with
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
token ^nn++++=token
frequency ^nn++++=frequency
in ^in++++=in
the ^ati++++=the
construction ^nn+nom+++=construction
showing ^vwbg+++xvbg+=showing
the ^ati++++=the
highest ^jjt+atrb+++=highest
proportion ^nn+nom+++=proportion
of ^in++++=of
the ^ati++++=the
maximally ^rb++++=maximally
reduced ^vbd+++xvbn+=reduced
variant ^nn+nom+++=variant.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
a ^at++++=a
different ^jj+atrb+++=different
factor ^nn++++=factor
than ^in++++=than
( ^zz++++=(ongoing)
ongoing ^jj+++xvbg+=EXTRAWORD
) ^zz++++=EXTRAWORD
constructionalization ^nn+nom+++=constructionalization
is ^vbz+bez+vrb++=is
likely ^jj+pred+++=likely
behind ^in+pl+++=behind
the ^ati++++=the
omission ^nn++++=omission
of ^in++++=of
the ^ati++++=the
article ^nn++++=article
and ^cc++++=and
complementizer ^jjr++++=complementizer.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
return ^vb++++=return
to ^in++++=to
this ^dt+dem+++=this
discussion ^nn++++=discussion
in ^in++++=in
Section ^nn+nom+++=Section
5 ^zz++++=5
. ^zz++++=.
With ^in++++=With
respect ^nn++++=respect
to ^in++++=to
separation ^nn+nom+++=separation
by ^in++++=by
punctuation ^nn+nom+++=punctuation
of ^in++++=of
bare ^jj+atrb+++=bare
complementation ^nn+nom+++=complementation,
, ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
4 ^zz++++=4
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
trouble ^nn++++=trouble
is ^vbz+bez+vrb++=is
again ^rb+tm+++=again
the ^ati++++=the
shell ^nn++++=shell
noun ^nn++++=noun
with ^in++++=with
the ^ati++++=the
highest ^jjt+atrb+++=highest
proportion ^nn+nom+++=proportion
of ^in++++=of
this ^dt+dem+++=this
highly ^rb+amp+++=highly
constructionalized ^jj+atrb++xvbn+=constructionalized
variant ^nn+nom+++=variant.
. ^zz++++=EXTRAWORD
Surprisingly ^rb+cnj+++=Surprisingly,
, ^zz++++=EXTRAWORD
word ^nn++++=word
shows ^vbz+vprv+++=shows
a ^at++++=a
low ^jj+atrb+++=low
proportion ^nn+nom+++=proportion
of ^in++++=of
focalizer ^jjr+atrb+++=focalizer
use ^nn++++=use
with ^in++++=with
a ^at++++=a
bare ^jj+atrb+++=bare
proposition ^nn+nom+++=proposition
that ^tht+ncmp+++=that
is ^vbz+bez+aux++=is
separated ^vpsv++by+xvbnx+=separated
by ^in++++=by
punctuation ^nn+nom+++=punctuation.
. ^zz++++=EXTRAWORD
Taken ^xvbn+++xvbn+=Taken
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
results ^nns++++=results
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
the ^ati++++=the
predictors ^nns++++=predictors
article ^nn++++=article
and ^cc++++=and
punctuation ^nn+nom+++=punctuation
play ^nn++++=play
out ^rp+pl+++=out
differently ^rb++++=differently
as ^ql++++=as
indicators ^nns++++=indicators
for ^in++++=for
the ^ati++++=the
choice ^nn++++=choice
of ^in++++=of
syntactic ^jj+atrb+++=syntactic
integration ^nn+nom+++=integration
across ^in+pl+++=across
different ^jj+atrb+++=different
shell ^nn++++=shell
nouns ^nns++++=nouns.
. ^zz++++=EXTRAWORD
Open ^jj++++=Open
in ^in++++=in
Viewer ^nn++++=Viewer
Figure ^nn++++=Figure
3 ^zz++++=3
. ^zz++++=.
Proportion ^nn+nom+++=Proportion
of ^in++++=of
N ^zz++++=N-is
- ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=EXTRAWORD
+ ^zz++++=+
Bare ^jj+atrb+++=Bare
Proposition ^nn+nom+++=Proposition
Across ^in+pl+++=Across
Shell ^nn++++=Shell
Nouns ^nns++++=Nouns
in ^in++++=in
Now ^rn+tm+++=NOW
Open ^jj++++=Open
in ^in++++=in
Viewer ^nn++++=Viewer
Figure ^nn++++=Figure
4 ^zz++++=4
. ^zz++++=.
Proportion ^nn+nom+++=Proportion
of ^in++++=of
Punctuation ^nn+nom+++=Punctuation-Separated
- ^zz++++=EXTRAWORD
separated ^vbd+++xvbn+=EXTRAWORD
N ^zz++++=N-is
- ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=EXTRAWORD
+ ^zz++++=+
bare ^jj+atrb+++=Bare
proposition ^nn+nom+++=Proposition
across ^in+pl+++=Across
shell ^nn++++=Shell
nouns ^nns++++=Nouns
in ^in++++=in
now ^rn+tm+++=NOW
