Having ^xvbg+++xvbg+=Having
outlined ^vprf+++xvbn+=outlined
the ^ati++++=the
coding ^jj+++xvbg+=coding
of ^in++++=of
internal ^jj+atrb+++=internal
and ^cc+phrs+++=and
external ^jj+atrb+++=external
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
section ^nn++++=section
turns ^nns++++=turns
to ^in++++=to
the ^ati++++=the
quantitative ^jj+atrb+++=quantitative
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
firstly ^rb++++=firstly
presenting ^vbg+++xvbg+=presenting
distributional ^nn+++??+=distributional
results ^nns++++=results
which ^whp+rel+subj++=which
provide ^vb+vsua+++=provide
insight ^nn++++=insight
into ^in++++=into
the ^ati++++=the
four ^cd++++=four
mechanisms ^nns++++=mechanisms
of ^in++++=of
grammaticalization ^nn+++??+=grammaticalization
and ^cc++++=and
their ^pp$+pp3+++=their
relevance ^nn++++=relevance
to ^in++++=to
negative ^jj+atrb+++=negative
tag ^nn++++=tag
variation ^nn++++=variation:
: ^zz++++=EXTRAWORD
erosion ^nn++++=erosion
( ^zz++++=(
section ^nn++++=section
5.1 ^cd++++=5.1
) ^zz++++=),
, ^zz++++=EXTRAWORD
decategorialization ^nn+++??+=decategorialization
( ^zz++++=(
section ^nn++++=section
5.2 ^cd++++=5.2
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
desemanticization ^nn+++??+=desemanticization
and ^cc++++=and
extension ^nn++++=extension
( ^zz++++=(
section ^nn++++=section
5.3 ^cd++++=5.3
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
relative ^jj+atrb+++=relative
impact ^nn++++=impact
of ^in++++=of
factors ^nns++++=factors
on ^in++++=on
the ^ati++++=the
variation ^nn++++=variation
will ^md+prd+++=will
be ^vb+be+aux++=be
examined ^vpsv++agls+xvbnx+=examined
in ^in++++=in
mixed ^jj+++xvbn+=mixed-effects
- ^zz++++=EXTRAWORD
effects ^nns++++=EXTRAWORD
logistic ^jj+atrb+++=logistic
regression ^nn++++=regression
models ^nns++++=models
in ^in++++=in
section ^nn++++=section
5.5 ^cd++++=5.5
. ^zz++++=.
