One ^cd1++++=One
challenge ^nn++++=challenge
for ^in++++=for
studying ^xvbg+++xvbg+=studying
intonational ^nn+++??+=intonational
variables ^nns++++=variables
as ^in++++=as
context ^nn++++=context
dependent ^jj++++=dependent,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
paucity ^nn++++=paucity
of ^in++++=of
studies ^nns++++=studies
on ^in++++=on
intonational ^nn+++??+=intonational
variation ^nn++++=variation
in ^in++++=in
American ^jj+atrb+++=American
English ^jj+atrb+++=English
varieties ^nns++++=varieties,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
the ^ati++++=the
salience ^nn++++=salience
of ^in++++=of
these ^dt+dem+++=these
features ^nns++++=features
in ^in++++=in
differentiating ^xvbg+++xvbg+=differentiating
ethnolinguistic ^nn+++??+=ethnolinguistic
varieties ^nns++++=varieties
( ^zz++++=(
Thomas ^np++++=Thomas
2015 ^cd++++=2015
; ^zz++++=;
Burdin ^np+++??+=Burdin,
, ^zz++++=EXTRAWORD
Holliday ^np+++??+=Holliday
& ^zz++++=&
Reed ^nn++++=Reed
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
For ^in++++=For
speakers ^nns++++=speakers
with ^in++++=with
complex ^jj++++=complex
and ^cc+phrs+++=and
variable ^jj+atrb+++=variable
Black ^jj+atrb+++=Black
identities ^nns+++??+=identities,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
middle ^jjb++++=middle-class
- ^zz++++=EXTRAWORD
class ^nn++++=EXTRAWORD
speakers ^nns++++=speakers
examined ^vwbn+++xvbn+=examined
in ^in++++=in
Spears ^nns++++=Spears
( ^zz++++=(1998)
1998 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
or ^cc++++=or
the ^ati++++=the
Bwi ^np+++??+=BWI
speakers ^nns++++=speakers
examined ^vwbn+++xvbn+=examined
in ^in++++=in
Holliday ^np+++??+=Holliday
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=,
this ^dt+dem+++=this
type ^nn++++=type
of ^in++++=of
work ^nn++++=work
is ^vbz+bez+vrb++=is
crucial ^jj+pred+++=crucial.
. ^zz++++=EXTRAWORD
Intonation ^nn++++=Intonation
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
primary ^jj+atrb+++=primary
linguistic ^jj+atrb+++=linguistic
resources ^nns++++=resources
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
may ^md+pos+++=may
draw ^vb++++=draw
on ^in+ppvb+++=on
in ^in++++=in
style ^nn++++=style-shifting
- ^zz++++=EXTRAWORD
shifting ^jj+++xvbg+=EXTRAWORD
and ^cc+phrs+++=and
expressing ^jj+++xvbg+=expressing
their ^pp$+pp3+++=their
racial ^jj+atrb+++=racial
identity ^nn++++=identity.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
few ^ap++++=few
studies ^nns++++=studies
have ^vb+hv+aux++=have
specifically ^rb++splt++=specifically
examined ^vprf+++xvbnx+=examined
intonational ^nn+++??+=intonational
variables ^nns++++=variables
in ^in++++=in
a ^at++++=a
systematic ^jj+atrb+++=systematic
way ^nn++++=way
therefore ^rb+cnj+++=therefore
means ^nns++++=means
that ^tht+rel+obj++=that
our ^pp$+pp1+++=our
understanding ^nvbg+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
full ^jj+atrb+++=full
spectrum ^nn+++??+=spectrum
of ^in++++=of
linguistic ^jj+atrb+++=linguistic
resources ^nns++++=resources
available ^jj++++=available
to ^in++++=to
Black ^jj+atrb+++=Black
speakers ^nns++++=speakers
remains ^vbz++++=remains
