Pleroma ^np+++??+=Pleroma
eglanduliferum ^nn+++??+=eglanduliferum
Justino ^np+++??+=Justino
& ^zz++++=&
P.j.f ^np+++??+=P.J.F.
. ^zz++++=EXTRAWORD
Guim ^np+++??+=Guim.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sp ^&fo++++=sp.
. ^zz++++=EXTRAWORD
nov ^nr++++=nov.
. ^zz++++=EXTRAWORD
Type ^nn++++=Type:
: ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais,
, ^zz++++=EXTRAWORD
Rio ^np+++??+=Rio
Preto ^np+++??+=Preto,
, ^zz++++=EXTRAWORD
Serra ^np+++??+=Serra
Negra ^np+++??+=Negra,
, ^zz++++=EXTRAWORD
trail ^nn++++=trail
to ^in++++=to
Burro ^np+++??+=Burro
de ^&fw++++=de
Ouro ^np+++??+=Ouro,
, ^zz++++=EXTRAWORD
21 ^cd++++=21
58'11''s ^cd++++=58'11''S,
, ^zz++++=EXTRAWORD
43 ^cd++++=43
53'21''w ^cd++++=53'21''W,
, ^zz++++=EXTRAWORD
1,400 ^cd++++=1,400
m ^zz++++=m
elevation ^nn++++=elevation,
, ^zz++++=EXTRAWORD
collected ^xvbn+++xvbn+=collected
on ^in++++=on
25 ^cd++++=25
February ^nr++++=February
2015 ^cd++++=2015
in ^in++++=in
flower ^nn++++=flower
by ^in++++=by
L.l ^np+++??+=L.L.
. ^zz++++=EXTRAWORD
Justino ^np+++??+=Justino,
, ^zz++++=EXTRAWORD
J.h.c ^np+++??+=J.H.C.
. ^zz++++=EXTRAWORD
Ribeiro ^np+++??+=Ribeiro,
, ^zz++++=EXTRAWORD
M.c.a ^np+++??+=M.C.A.
. ^zz++++=EXTRAWORD
Mota ^np+++??+=Mota,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
J.f.b ^np+++??+=J.F.B.
. ^zz++++=EXTRAWORD
Pastore ^np+++??+=Pastore,
, ^zz++++=EXTRAWORD
specimen ^nn++++=specimen
number ^nn++++=number
134 ^cd++++=134
( ^zz++++=(holotype:
holotype ^nn+++??+=EXTRAWORD
: ^zz++++=EXTRAWORD
Cesj ^np+++??+=CESJ;
; ^zz++++=EXTRAWORD
isotype ^nn+++??+=isotype:
: ^zz++++=EXTRAWORD
rb ^np++++=RB).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
see ^vb+vprv+++=See
figures ^nns++++=Figures
1 ^zz++++=1
and ^cc++++=and
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
