One ^cd1++++=One
complicating ^vbg+++xvbg+=complicating
factor ^nn++++=factor
of ^in++++=of
previous ^jj+atrb+++=previous
studies ^nns++++=studies
is ^vbz+bez+vrb++=is
that ^dt+dem+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
good ^jj+atrb+++=good
evidence ^nn++++=evidence
that ^tht+rel+++=that
postnatal ^nn+++??+=postnatal
testosterone ^nn+++??+=testosterone
is ^vbz+bez+vrb++=is
a ^at++++=a
robust ^jj+atrb+++=robust
indicator ^nn++++=indicator
of ^in++++=of
prenatal ^nn+++??+=prenatal
testosterone ^nn+++??+=testosterone.
. ^zz++++=EXTRAWORD
Prenatal ^np+++??+=Prenatal
testosterone ^nn+++??+=testosterone
differences ^nns++++=differences
may ^md+pos+++=may
persist ^vb++++=persist
into ^in++++=into
adulthood ^nn+++??+=adulthood,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
unclear ^nn+++??+=unclear
whether ^cs+who+++=whether
this ^dt+dem+++=this
relationship ^nn++++=relationship
is ^vbz+bez+vrb++=is
strong ^jj+pred+++=strong
enough ^qlp++++=enough
to ^to++++=to
justify ^vbi++++=justify
using ^vbg+++xvbg+=using
adult ^nn++++=adult
T ^zz++++=T
as ^ql++++=as
a ^at++++=a
proxy ^nn+++??+=proxy
for ^in++++=for
prenatal ^nn+++??+=prenatal
T ^zz++++=T.
. ^zz++++=EXTRAWORD
About ^in++++=About
half ^abn++++=half
of ^in++++=of
the ^ati++++=the
variance ^nn++++=variance
in ^in++++=in
T ^zz++++=T
levels ^nns++++=levels
is ^vbz+bez+vrb++=is
attributable ^jj+pred+++=attributable
to ^in++++=to
genetic ^jj+atrb+++=genetic
effects ^nns++++=effects
( ^zz++++=(Caramaschi
caramaschi ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
; ^zz++++=;
Hoekstra ^np+++??+=Hoekstra
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006
) ^zz++++=),
, ^zz++++=EXTRAWORD
so ^ql++++=so
between ^in++++=between-individual
- ^zz++++=EXTRAWORD
individual ^jj+atrb+++=EXTRAWORD
variation ^nn++++=variation
may ^md+pos+++=may
be ^vb+be+vrb++=be
somewhat ^rb+down+++=somewhat
stable ^jj+pred+++=stable.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
Beking ^np+++??+=Beking
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(
2018 ^cd++++=2018
) ^zz++++=)
did ^vbd+dod+aux++=did
not ^xnot++not++=not
find ^vb+vprv+++=find
significant ^jj+atrb+++=significant
correlations ^nns++++=correlations
between ^in++++=between
prenatal ^nn++++=prenatal
and ^cc++++=and
pubertal ^nn++++=pubertal
t ^zz++++=T
in ^in++++=in
boys ^nns++++=boys
or ^cc++++=or
girls ^nns++++=girls.
. ^zz++++=EXTRAWORD
