Yet ^rb+cnj+++=Yet,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Hanan ^np+++??+=Hanan
( ^zz++++=(
2018 ^cd++++=2018
) ^zz++++=)
and ^cc++++=and
others ^aps++++=others
have ^vb+hv+aux++=have
suggested ^vprf+++xvbnx+=suggested,
, ^zz++++=EXTRAWORD
assessing ^vbg+++xvbg+=assessing
both ^abx++++=both
verbal ^jj++++=verbal
and ^cc++++=and
non ^&fw++++=non-verbal
- ^zz++++=EXTRAWORD
verbal ^jj+atrb+++=EXTRAWORD
displays ^nns++++=displays
of ^in++++=of
remorse ^nn++++=remorse
as ^ql++++=as
indicators ^nns++++=indicators
of ^in++++=of
credibility ^nn+++??+=credibility
and ^cc++++=and
character ^nn++++=character
is ^vbz+bez+vrb++=is
a ^at++++=a
subjective ^jj+atrb+++=subjective
process ^nn++++=process
that ^tht+rel+++=that
likely ^jj++++=likely
offers ^vbz++++=offers
rich ^jj+atrb+++=rich
opportunities ^nns++++=opportunities
for ^in++++=for
implicit ^jj+atrb+++=implicit
cognitive ^nn+++??+=cognitive
processes ^nns++++=processes
termed ^vbd+++xvbn+=termed
remorse ^nn++++=remorse
bias ^nn++++=bias
. ^zz++++=.
When ^wrb+who+++=When
assessing ^vbg+++xvbg+=assessing
another ^dt++++=another
person ^nn++++=person's
's ^$++++=EXTRAWORD
remorse ^nn++++=remorse,
, ^zz++++=EXTRAWORD
the ^ati++++=the
assessor ^nn++++=assessor
may ^md+pos+++=may
unconsciously ^rb++++=unconsciously
filter ^nn++++=filter
remorse ^nn++++=remorse
assessments ^nns++++=assessments,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
corresponding ^jj+atrb++xvbg+=corresponding
character ^nn++++=character
attributions ^nns+++??+=attributions,
, ^zz++++=EXTRAWORD
through ^in++++=through
a ^at++++=a
lens ^nn++++=lens
of ^in++++=of
biased ^vbd+++xvbn+=biased
and ^cc++++=and
stereotyped ^jj+atrb+++=stereotyped
suppositions ^nns+++??+=suppositions
about ^in++++=about
how ^wrb+who+++=how
a ^at++++=a
person ^nn++++=person
should ^md+nec+++=should
feel ^vb+vprv+++=feel
or ^cc++++=or
act ^nn++++=act
when ^wrb+who+++=when
showing ^jj+atrb++xvbg+=showing
true ^jj+atrb+++=true
remorse ^nn++++=remorse;
; ^zz++++=EXTRAWORD
particularly ^rb+cnj+++=particularly,
, ^zz++++=EXTRAWORD
people ^nns++++=people
with ^in++++=with
certain ^jj++++=certain
social ^jj++++=social
or ^cc++++=or
background ^nn++++=background
characteristics ^nns++++=characteristics
may ^md+pos+++=may
be ^vb+be+aux++=be
viewed ^vpsv++agls+xvbnx+=viewed
as ^ql++++=as
disingenuous ^vbz+++??+=disingenuous
or ^cc++++=or
lacking ^jj+atrb++xvbg+=lacking
intrinsic ^jj+atrb+++=intrinsic
character ^nn++++=character
necessary ^jj++++=necessary
for ^in++++=for
rehabilitation ^nn++++=rehabilitation
or ^cc++++=or
redemption ^nn++++=redemption
when ^wrb+who+++=when
their ^pp$+pp3+++=their
remorse ^nn++++=remorse
displays ^nns++++=displays
conflict ^nn++++=conflict
with ^in++++=with
the ^ati++++=the
assessor ^nn++++=assessor's
's ^vbz+bez+vrb++0=EXTRAWORD
implicit ^jj+atrb+++=implicit
assumptions ^nns++++=assumptions
about ^in++++=about
people ^nns++++=people
with ^in++++=with
such ^abl++++=such
characteristics ^nns++++=characteristics
( ^zz++++=(Bandes,
bandes ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
; ^zz++++=;
2021 ^cd++++=2021
; ^zz++++=;
Gruber ^np+++??+=Gruber,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
; ^zz++++=;
Hanan ^np+++??+=Hanan,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
even ^rb++++=even
if ^cs+cnd+++=if
true ^jj++++=true,
, ^zz++++=EXTRAWORD
assessors ^nns+++??+=assessors
may ^md+pos+++=may
view ^vb++++=view
others ^aps++++=others
remorse ^nn++++=remorse
displays ^nns++++=displays
as ^ql++++=as
dishonest ^jj++++=dishonest,
, ^zz++++=EXTRAWORD
feigned ^nn+++??+=feigned,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
forensically ^jj+++??+=forensically
resourceful ^jj++++=resourceful
if ^cs+cnd+++=if
their ^pp$+pp3+++=their
words ^nns++++=words,
, ^zz++++=EXTRAWORD
cadence ^nn++++=cadence,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
expressions ^nns++++=expressions
differ ^vb++++=differ
from ^in++++=from
expectations ^nns++++=expectations
or ^cc++++=or
stereotypes ^nns+++??+=stereotypes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
lead ^vb++++=lead
to ^in++++=to
a ^at++++=a
priori ^rb++++=priori
biased ^vwbn+++xvbn+=biased
judgments ^nns++++=judgments
of ^in++++=of
their ^pp$+pp3+++=their
poor ^jj+atrb+++=poor
character ^nn++++=character
( ^zz++++=(Duncan,
duncan ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002
; ^zz++++=;
gruber ^np++++=Gruber,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
; ^zz++++=;
posner ^np++++=Posner,
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004
) ^zz++++=).
. ^zz++++=EXTRAWORD
