Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
this ^dt+dem+++=this
information ^nn+nom+++=information,
, ^zz++++=EXTRAWORD
probation ^nn+nom+++=probation
officers ^nns+nom+++=officers
write ^vb++++=write
reports ^nns++++=reports
that ^tht+ncmp+++=that
convey ^vb++++=convey
both ^abx++++=both
legal ^jj++++=legal
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
criminal ^jj+atrb+++=criminal
record ^nn++++=record,
, ^zz++++=EXTRAWORD
previous ^jj+atrb+++=previous
probation ^nn+nom+++=probation
history ^nn++++=history,
, ^zz++++=EXTRAWORD
mitigating ^vbg+++xvbg+=mitigating/aggravating
factors ^nns++++=factors)
) ^zz++++=EXTRAWORD
and ^cc++++=and
extra ^jj++++=extra-legal
- ^zz++++=EXTRAWORD
legal ^jj++++=EXTRAWORD
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
employment ^nn+nom+++=employment
history ^nn++++=history,
, ^zz++++=EXTRAWORD
family ^nn++++=family
background ^nn++++=background,
, ^zz++++=EXTRAWORD
mental ^jj+atrb+++=mental
health ^nn++++=health,
, ^zz++++=EXTRAWORD
financial ^jj+atrb+++=financial
background ^nn++++=background,
, ^zz++++=EXTRAWORD
ties ^nns++++=ties
to ^in++++=to
the ^ati++++=the
community ^nn+nom+++=community,
, ^zz++++=EXTRAWORD
information ^nn+nom+++=information
observed ^vbd+++xvbn+=observed,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
learned ^vpsv++agls+xvbn+=learned
from ^in++++=from
client ^nn++++=client
interviews ^nns++++=interviews)
) ^zz++++=EXTRAWORD
information ^nn+nom+++=information
about ^in++++=about
a ^at++++=a
defendant ^nn+nom+++=defendant;
; ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
their ^pp$+pp3+++=their
assessments ^nns+nom+++=assessments
of ^in++++=of
this ^dt+dem+++=this
legal ^jj++++=legal
and ^cc+phrs+++=and
extra ^jj++++=extra-legal
- ^zz++++=EXTRAWORD
legal ^jj+atrb+++=EXTRAWORD
information ^nn+nom+++=information,
, ^zz++++=EXTRAWORD
probation ^nn+nom+++=probation
officers ^nns+nom+++=officers
use ^nn++++=use
pre ^nn+++??+=pre-sentencing
- ^zz++++=EXTRAWORD
sentencing ^jj+atrb++xvbg+=EXTRAWORD
reports ^vb++++=reports
to ^to+vcmp+++=to
communicate ^nn+nom+++=communicate
their ^pp$+pp3+++=their
sentencing ^jj+atrb++xvbg+=sentencing
recommendations ^nns+nom+++=recommendations
to ^in++++=to
the ^ati++++=the
court ^nn++++=court
and ^cc+cls+++=and
what ^wdt+who+++=what,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
any ^dti++++=any,
, ^zz++++=EXTRAWORD
factors ^nns++++=factors
or ^cc++++=or
contexts ^nns++++=contexts
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
feel ^vb+vprv+++=feel
that ^tht+vcmp+++=that
judges ^nns++++=judges
should ^md+nec+++=should
consider ^nn+nom+++=consider
or ^cc+phrs+++=or
weigh ^vb++++=weigh
when ^wrb+who+++=when
determining ^vbg+++xvbg+=determining
the ^ati++++=the
gravity ^nn+nom+++=gravity
or ^cc++++=or
type ^nn++++=type
of ^in++++=of
sentence ^nn+nom+++=sentence
( ^zz++++=(Converse,
converse ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
; ^zz++++=;
spencer ^np++++=Spencer,
, ^zz++++=EXTRAWORD
1983 ^cd+date+++=1983
) ^zz++++=).
. ^zz++++=EXTRAWORD
