Most ^ql+emph+++=Most
Nepalese ^np+nom++??+=Nepalese
adolescents ^nns++++=adolescents
recognized ^vwbn+vprv++xvbn+=recognized
the ^ati++++=the
structural ^jj+atrb+++=structural
barriers ^nns+nom+++=barriers
that ^tht+rel+subj++=that
exist ^vb++++=exist,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reasoned ^vpsv++agls+xvbn+=reasoned
about ^in++++=about
the ^ati++++=the
inequalities ^nns+nom+++=inequalities
that ^tht+rel+subj++=that
created ^vprf+++xvbn+=created
these ^dt+dem+++=these
constraints ^nns+++??+=constraints.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
challenge ^nn++++=challenge
past ^jjb+atrb+++=past
theories ^nns++++=theories
which ^whp+rel+subj++=which
claimed ^vprf+++xvbn+=claimed
that ^tht+vcmp+++=that
individuals ^nns+nom+++=individuals
living ^vwbg+++xvbg+=living
in ^in++++=in
rigidly ^rb++++=rigidly
structured ^jj+atrb++xvbn+=structured
societies ^nns++++=societies
accepted ^vbd+vprv++xvbn+=accepted
the ^ati++++=the
social ^jj+atrb+++=social
structure ^nn++++=structure
as ^in++++=as
part ^nn++++=part
of ^in++++=of
their ^pp$+pp3+++=their
interpersonal ^jj+atrb+++=interpersonal
obligation ^nn+nom+++=obligation
and ^cc++++=and
would ^md+prd+++=would
not ^xnot++not++=not
consider ^nn+nom+++=consider
challenging ^jj+++xvbg+=challenging
the ^ati++++=the
system ^nn++++=system
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
duty ^nn++++=duty-bound
- ^zz++++=EXTRAWORD
bound ^vbd+++xvbn+=EXTRAWORD
obligation ^nn+nom+++=obligation
to ^to+ncmp+++=to
uphold ^vbi++++=uphold
societal ^jj+atrb+++=societal
norms ^nns++++=norms
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Wainryb ^np+++??+=Wainryb
& ^zz++++=&
Rechia ^np+++??+=Rechia,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
; ^zz++++=;
Turiel ^np+++??+=Turiel,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
, ^zz++++=,
for ^in++++=for
a ^at++++=a
discussion ^nn++++=discussion).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
adolescents ^nns++++=adolescents
reasoning ^vwbg+++xvbg+=reasoning
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
simply ^rb++++=simply
mirror ^vb++++=mirror
the ^ati++++=the
perceived ^jj+atrb++xvbn+=perceived
societal ^jj+atrb+++=societal
restrictions ^nns+nom+++=restrictions
but ^cc++++=but
included ^vbd+++xvbn+=included
negative ^jj+atrb+++=negative
evaluations ^nns+nom+++=evaluations
of ^in++++=of
societal ^jj+atrb+++=societal
inequalities ^nns+nom+++=inequalities.
. ^zz++++=EXTRAWORD
