Evaluations ^nns+nom++??+=Evaluations
of ^in++++=of
Remorse ^nn++++=Remorse
. ^zz++++=.
As ^cs+sub+++=As
described ^jj+++xvbn+=described
above ^jjb++++=above
and ^cc+phrs+++=and
stemming ^jj+++xvbg+=stemming
from ^in++++=from
different ^jj+atrb+++=different
beliefs ^nns++++=beliefs,
, ^zz++++=EXTRAWORD
probation ^nn+nom+++=probation
officers ^nns+nom+++=officers
often ^rb++++=often
doubted ^vbd+vprv++xvbn+=doubted
the ^ati++++=the
genuineness ^nns+nom+++=genuineness
of ^in++++=of
defendants ^nns+nom+++=defendants
remorse ^nn++++=remorse
displays ^nns++++=displays.
. ^zz++++=EXTRAWORD
Correspondingly ^rb+cnj+++=Correspondingly,
, ^zz++++=EXTRAWORD
officers ^nns+nom+++=officers
discussed ^vwbn+++xvbn+=discussed
that ^dt+dem+++=that
they ^pp3a+pp3+++=they
often ^rb++++=often
wrote ^vbd+vprv++xvbn+=wrote
about ^in++++=about
these ^dt+dem+++=these
reservations ^nns+nom+++=reservations
in ^in++++=in
their ^pp$+pp3+++=their
pre ^nn+++??+=pre-sentencing
- ^zz++++=EXTRAWORD
sentencing ^jj+atrb++xvbg+=EXTRAWORD
reports ^vb++++=reports
to ^to+vcmp+++=to
convey ^vbi++++=convey
this ^dt+dem+++=this
information ^nn+nom+++=information
to ^in++++=to
the ^ati++++=the
court ^nn++++=court.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
officers ^nns+nom+++=officers
said ^vbd+vpub+tht0+xvbn+=said
this ^dt+dem+++=this
information ^nn+nom+++=information
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
important ^jj+atrb+++=important
things ^nns++++=things
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
included ^vbd+++xvbnx+=included
in ^in++++=in
pre ^nn+++??+=pre-sentencing
- ^zz++++=EXTRAWORD
sentencing ^jj+atrb++xvbg+=EXTRAWORD
reports ^nns++++=reports.
. ^zz++++=EXTRAWORD
Probation ^nn+nom+++=Probation
Officer ^nn++++=Officer
144 ^cd++++=144
stated ^vbn+vpub+tht0+xvbn+=stated
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
noting ^vbg+vprv++xvbg+=noting
in ^in++++=in
my ^pp$+pp1+++=my
report ^nn++++=report,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
a ^at++++=a
defendant ^nn+nom+++=defendant
is ^vbz+bez+vrb++=is
remorseful ^jj+pred+++=remorseful
or ^cc++++=or
not ^xnot++not++=not
is ^vbz+bez+vrb++=is
more ^rbr++++=more
important ^jj+pred+++=important
than ^in++++=than
looking ^vbg+++xvbg+=looking
at ^rb++++=at
a ^at++++=a
person ^nn++++=person's
's ^$++++=EXTRAWORD
background ^nn++++=background
history ^nn++++=history.
. ^zz++++=EXTRAWORD
