Infrastructure ^np+++??+=Infrastructure,
, ^zz++++=EXTRAWORD
an ^at++++=an
analytic ^nn+++??+=analytic
term ^nn++++=term
drawn ^vwbn+++xvbn+=drawn
from ^in++++=from
science ^nn++++=science
and ^cc++++=and
technology ^nn++++=technology
studies ^nns++++=studies
( ^zz++++=(STS),
sts ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
helpfully ^rb++splt++=helpfully
applied ^vpsv++agls+xvbn+=applied
to ^to++++=to
connect ^vbi++++=connect
people ^nns++++=people's
's ^$++++=EXTRAWORD
lived ^vbd+++xvbn+=lived
experience ^nn++++=experience
with ^in++++=with
large ^jj++++=large-scale
- ^zz++++=EXTRAWORD
scale ^nn++++=EXTRAWORD
systems ^nns++++=systems
effects ^nns++++=effects,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
landscape ^nn++++=landscape
transformations ^vbz+++??+=transformations
produced ^vpsv++by+xvbn+=produced
by ^in++++=by
the ^ati++++=the
Anthropocene ^np+++??+=Anthropocene
( ^zz++++=(
Hetherington ^np++++=Hetherington
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
A ^at++++=A
particularly ^rb++++=particularly
productive ^jj+atrb+++=productive
engagement ^nn++++=engagement
between ^in++++=between
the ^ati++++=the
anthropology ^nn++++=anthropology
of ^in++++=of
infrastructure ^nn+++??+=infrastructure
and ^cc++++=and
the ^ati++++=the
Anthropocene ^np+++??+=Anthropocene
comes ^vbz++++=comes
from ^in+ppvb+++=from
Carse ^np++++=Carse's
's ^$++++=EXTRAWORD
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
study ^nn++++=study
of ^in++++=of
the ^ati++++=the
Panama ^np++++=Panama
Canal ^nn++++=Canal
Watershed ^nn++++=Watershed,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
Carse ^np+++??+=Carse
argues ^vbz+vpub+++=argues
that ^tht+vcmp+++=that
the ^ati++++=the
landscape ^nn++++=landscape
itself ^ppl++++=itself
can ^md+pos+++=can
be ^vb+be+aux++=be
thought ^vpsv++agls+xvbnx+=thought
of ^in++++=of
as ^in++++=as
an ^at++++=an
infrastructure ^nn+++??+=infrastructure.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
perspective ^nn++++=perspective
stands ^nns++++=stands
in ^in++++=in
helpful ^jj+atrb+++=helpful
distinction ^nn++++=distinction
from ^in++++=from
formulations ^nns++++=formulations
of ^in++++=of
infrastructure ^nn++++=infrastructure
as ^ql++++=as
an ^at++++=an
information ^nn++++=information
network ^nn++++=network.
. ^zz++++=EXTRAWORD
