One ^cd1++++=One
way ^nn++++=way
to ^to++++=to
avoid ^vbi++++=avoid
such ^abl++++=such
biases ^nns+++??+=biases
is ^vbz+bez+aux++=is
to ^to++++=to
take ^vbi++++=take
advantage ^nn+nom+++=advantage
of ^in++++=of
new ^nn++++=new
tracking ^vwbg+++xvbg+=tracking
technologies ^nns+++??+=technologies
to ^to++++=to
remove ^vbi++++=remove
human ^jj+atrb+++=human
observers ^nns+nom+++=observers
from ^in++++=from
the ^ati++++=the
equation ^nn+nom+++=equation.
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
simultaneous ^jj+atrb+++=simultaneous
Global ^jj+atrb+++=Global
Positioning ^nn++++=Positioning
System ^nn++++=System
( ^zz++++=(GPS)
gps ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
tracking ^vbg+++xvbg+=tracking
of ^in++++=of
leopards ^nns+++??+=leopards
and ^cc++++=and
two ^cd++++=two
primate ^nn+nom+++=primate
prey ^nn++++=prey
species ^nn++++=species
olive ^nn++++=olive
baboons ^nns+++??+=baboons
( ^zz++++=(
Papio ^np++++=Papio
anubis ^np++++=anubis
) ^zz++++=)
and ^cc++++=and
vervet ^nn+++??+=vervet
monkeys ^nns++++=monkeys
( ^zz++++=(
Chlorocebus ^np++++=Chlorocebus
pygerythrus ^nns+++??+=pygerythrus
) ^zz++++=)
recently ^rb+tm+++=recently
revealed ^vbn+vprv++xvbn+=revealed
differences ^nns+nom+++=differences
in ^in++++=in
the ^ati++++=the
timing ^nn++++=timing
and ^cc++++=and
location ^nn+nom+++=location,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
the ^ati++++=the
magnitude ^nn++++=magnitude
of ^in++++=of
predation ^nn+nom+++=predation
pressure ^nn++++=pressure.
. ^zz++++=EXTRAWORD
Vervets ^np+++??+=Vervets,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
lighter ^jjr+pred+++=lighter
and ^cc++++=and
live ^vb++++=live
in ^in++++=in
smaller ^jjr+atrb+++=smaller
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
hunted ^vpsv++agls+xvbnx+=hunted
on ^in++++=on
the ^ati++++=the
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
day ^nn++++=day,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
baboons ^nns+++??+=baboons,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
heavier ^jjr+pred+++=heavier
and ^cc++++=and
live ^vb++++=live
in ^in++++=in
larger ^jjr+atrb+++=larger
social ^jj+atrb+++=social
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
most ^ql+emph+++=most
vulnerable ^jj++++=vulnerable
to ^in++++=to
leopard ^nn++++=leopard
predation ^nn+nom+++=predation
at ^in++++=at
night ^nn++++=night,
, ^zz++++=EXTRAWORD
in ^in++++=in
their ^pp$+pp3+++=their
sleeping ^jj+atrb++xvbg+=sleeping
trees ^nns++++=trees
( ^zz++++=(
Isbell ^np++++=Isbell
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
results ^nns++++=results
paint ^vb++++=paint
a ^at++++=a
much ^ap++++=much
more ^rbr++++=more
nuanced ^jj+atrb++xvbn+=nuanced
picture ^nn++++=picture
of ^in++++=of
the ^ati++++=the
relationship ^nn+nom+++=relationship
between ^in++++=between
felid ^nn+++??+=felid
predators ^nns++++=predators
and ^cc++++=and
their ^pp$+pp3+++=their
primate ^nn+nom+++=primate
prey ^nn++++=prey
and ^cc++++=and
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
connections ^nns+nom+++=connections
between ^in++++=between
predation ^nn+nom+++=predation
risk ^nn++++=risk
and ^cc++++=and
body ^nn++++=body
size ^nn++++=size,
, ^zz++++=EXTRAWORD
party ^nn++++=party
size ^nn++++=size,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
traits ^nns++++=traits
providing ^jj+atrb+++=providing
antipredator ^nn++++=antipredator
benefits ^nns++++=benefits
are ^vb+ber+vrb++=are
unlikely ^jj+pred+++=unlikely
to ^to+jcmp+++=to
be ^vbi++vrb++=be
straightforward ^jj+pred+++=straightforward.
. ^zz++++=EXTRAWORD
