Catarrhines ^np+++??+=Catarrhines
exhibit ^vb++++=exhibit
a ^at++++=a
negative ^jj+atrb+++=negative
allometric ^nn+++??+=allometric
relationship ^nn++++=relationship
between ^in++++=between
adult ^nn++++=adult
and ^cc++++=and
neonatal ^jj+atrb++??+=neonatal
brain ^nn++++=brain
size ^nn++++=size,
, ^zz++++=EXTRAWORD
such ^abl++++=such
that ^cs+sub+++=that
larger ^jjr+atrb+++=larger
brains ^nns++++=brains
in ^in++++=in
adults ^nns++++=adults
are ^vb+ber+aux++=are
linked ^vpsv++agls+xvbnx+=linked
to ^in++++=to
less ^rbr++++=less
complete ^jj+atrb+++=complete
brain ^nn++++=brain
growth ^nn++++=growth
at ^in++++=at
birth ^nn++++=birth
( ^zz++++=(
Desilva ^np++++=DeSilva
& ^zz++++=&
Lesnik ^np+++??+=Lesnik
2008 ^cd++++=2008
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
work ^nn++++=work
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
featured ^vpsv++agls+xvbnx+=featured
in ^in++++=in
a ^at++++=a
New ^jj+atrb+++=New
Yorker ^np+++??+=Yorker
article ^nn++++=article
with ^in++++=with
the ^ati++++=the
intriguing ^jj+atrb+++=intriguing
title ^nn++++=title
Why ^wrb+who+++=Why
Are ^vb+ber+vrb++=Are
Babies ^nns++++=Babies
So ^rb+emph+++=So
Dumb ^jj++++=Dumb
If ^cs+cnd+++=If
Humans ^nns++++=Humans
Are ^vb+ber+vrb++=Are
So ^ql+emph+++=So
Smart ^jj++++=Smart?
? ^zz++++=EXTRAWORD
( ^zz++++=(
Konnikova ^np++++=Konnikova
2016 ^cd++++=2016
) ^zz++++=),
, ^zz++++=EXTRAWORD
Piantodosi ^np+++??+=Piantodosi
& ^zz++++=&
Kidd ^np+++??+=Kidd
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
show ^vb+vprv+tht0++=show
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
across ^in+pl+++=across
primates ^nns+++??+=primates,
, ^zz++++=EXTRAWORD
infant ^nn++++=infant
helplessness ^nn++++=helplessness
( ^zz++++=(measured
measured ^vbd+++xvbn+=EXTRAWORD
as ^ql++++=as
time ^nn++++=time
to ^in++++=to
weaning ^jj++++=weaning)
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
correlated ^vpsv++agls+xvbnx+=correlated
with ^in++++=with
adult ^jj+atrb+++=adult
intelligence ^nn++++=intelligence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
authors ^nns++++=authors
resolve ^vb++++=resolve
the ^ati++++=the
apparent ^jj+atrb+++=apparent
contradiction ^nn++++=contradiction
in ^in++++=in
Konnikova ^np++++=Konnikova's
's ^$++++=EXTRAWORD
title ^nn++++=title
between ^in++++=between
human ^jj+atrb+++=human
intelligence ^nn++++=intelligence
in ^in++++=in
adults ^nns++++=adults
and ^cc++++=and
helplessness ^nn++++=helplessness
in ^in++++=in
infants ^nns++++=infants
by ^in++++=by
proposing ^xvbg+++xvbg+=proposing
a ^at++++=a
model ^nn++++=model
that ^tht+rel+obj++=that
links ^nns++++=links
human ^jj+atrb+++=human
infants ^nns++++=infants
need ^nn++++=need
for ^in++++=for
care ^nn++++=care
and ^cc++++=and
attention ^nn++++=attention
with ^in++++=with
our ^pp$+pp1+++=our
extraordinary ^jj+atrb+++=extraordinary
intelligence ^nn++++=intelligence.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
argue ^vb+vpub+++=argue
that ^tht+vcmp+++=that
infant ^nn++++=infant
helplessness ^nn++++=helplessness
creates ^vbz++++=creates
a ^at++++=a
situation ^nn++++=situation
in ^in++++=in
which ^whp+rel+pied++=which
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
runaway ^jjb+atrb+++=runaway
selection ^nn++++=selection
for ^in++++=for
intelligence ^nn++++=intelligence
in ^in++++=in
humans ^nns++++=humans
because ^cs+cos+++=because
helpless ^jj+atrb+++=helpless
neonates ^nns+++??+=neonates
need ^nn++++=need
more ^rbr++++=more
intelligent ^jj++++=intelligent
( ^zz++++=(larger-brained)
larger ^jjr++++=EXTRAWORD
- ^zz++++=EXTRAWORD
brained ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
parents ^nns++++=parents
to ^in++++=to
care ^nn++++=care
for ^in++++=for
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
larger ^jjr+atrb+++=larger
brains ^nns++++=brains
require ^vb+vsua+++=require
being ^xvbg+++xvbg+=being
born ^xvbn+++xvbn+=born
in ^in++++=in
an ^at++++=an
even ^rb++++=even
more ^rbr++++=more
helpless ^jj+atrb+++=helpless
condition ^nn++++=condition.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition,
, ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=being
born ^xvbn+++xvbn+=born
early ^jj++++=early
( ^zz++++=(or
or ^cc++++=EXTRAWORD
relatively ^rb++++=relatively
immature ^jj++++=immature)
) ^zz++++=EXTRAWORD
may ^md+pos+++=may
mean ^vb++++=mean
that ^tht+vcmp+++=that
brain ^nn++++=brain
growth ^nn++++=growth
and ^cc++++=and
development ^nn++++=development
take ^vb++++=take
place ^nn++++=place
in ^in++++=in
a ^at++++=a
richly ^rb++++=richly
stimulating ^jj+atrb++xvbg+=stimulating
cultural ^jj+atrb+++=cultural
environment ^nn++++=environment
and ^cc++++=and
may ^md+pos+++=may
serve ^vb++++=serve
as ^in++++=as
a ^at++++=a
tremendous ^jj+atrb+++=tremendous
advantage ^nn++++=advantage
of ^in++++=of
human ^jj+atrb+++=human
infant ^nn++++=infant
helplessness ^nn++++=helplessness.
. ^zz++++=EXTRAWORD
In ^in++++=In
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
the ^ati++++=the
complexity ^nn++++=complexity
of ^in++++=of
human ^jj+atrb+++=human
culture ^nn++++=culture
may ^md+pos+++=may
place ^vb++++=place
increasing ^vwbg+++xvbg+=increasing
demands ^nns++++=demands
on ^in++++=on
the ^ati++++=the
cognitive ^nn+++??+=cognitive
capacity ^nn++++=capacity
of ^in++++=of
infants ^nns++++=infants
to ^to++++=to
absorb ^vbi++++=absorb
a ^at++++=a
steadily ^rb++++=steadily
growing ^jj+atrb++xvbg+=growing
body ^nn++++=body
of ^in++++=of
learned ^jj+atrb++xvbn+=learned
knowledge ^nn++++=knowledge
and ^cc++++=and
behavior ^nn++++=behavior,
, ^zz++++=EXTRAWORD
another ^dt++++=another
aspect ^nn++++=aspect
of ^in++++=of
the ^ati++++=the
positive ^jj+atrb+++=positive
feedback ^nn++++=feedback
loop ^nn++++=loop
between ^in++++=between
adult ^nn++++=adult
encephalization ^nn++++=encephalization
and ^cc++++=and
infant ^nn++++=infant
helplessness ^nn++++=helplessness.
. ^zz++++=EXTRAWORD
