Adopting ^vbg+++xvbg+=Adopting
a ^at++++=a
Peircean ^np+++??+=Peircean
pragmatic ^jj+atrb+++=pragmatic
approach ^nn++++=approach
in ^in++++=in
archaeology ^nn++++=archaeology,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
requires ^vbz++++=requires
neither ^dt++neg++=neither
that ^dt+dem+++=that
we ^pp1a+pp1+++=we
reject ^vb++++=reject
the ^ati++++=the
reality ^nn++++=reality
of ^in++++=of
the ^ati++++=the
past ^jjb++++=past,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
view ^nn++++=view
a ^at++++=a
human ^jj+atrb+++=human
interpreter ^nn++++=interpreter
as ^in++++=as
an ^at++++=an
ontological ^nn+++??+=ontological
necessity ^nn++++=necessity
( ^zz++++=(versus
versus ^in++++=EXTRAWORD
Harris ^np++++=Harris
& ^zz++++=&
Cipolla ^np+++??+=Cipolla
2017 ^cd++++=2017
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
126 ^cd++++=126).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
acknowledges ^vbz++++=acknowledges
that ^tht+vcmp+++=that
past ^jjb+atrb+++=past
events ^nns++++=events
are ^vb+ber+vrb++=are
interpretable ^nn+++??+=interpretable
only ^rb+down+++=only
through ^in++++=through
their ^pp$+pp3+++=their
observable ^jj+atrb+++=observable
effects ^nns++++=effects.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
focus ^nn++++=focus
on ^in++++=on
effects ^nns++++=effects
is ^vbz+bez+vrb++=is
especially ^rb++++=especially
appropriate ^jj+pred+++=appropriate
in ^in++++=in
a ^at++++=a
discipline ^nn++++=discipline
such ^abl++++=such
as ^ql++++=as
archaeology ^nn++++=archaeology,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
characterized ^nn+++??+=characterized
by ^in++++=by
evidential ^nn+++??+=evidential
scarcity ^nn++++=scarcity
( ^zz++++=(
Herzfeld ^np++++=Herzfeld
1992 ^cd+date+++=1992
) ^zz++++=)
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
struggles ^nns++++=struggles
with ^in++++=with
an ^at++++=an
inherent ^jj+atrb+++=inherent
skepticism ^nn+++??+=skepticism
about ^in++++=about
which ^whp+rel+pied++=which
aspects ^nns++++=aspects
of ^in++++=of
past ^jjb+atrb+++=past
society ^nn++++=society
are ^vb+ber+vrb++=are
more ^rbr++++=more
or ^cc++++=or
less ^ql++++=less
interpretable ^nn+++??+=interpretable
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Hawkes ^np+++??+=Hawkes
1954 ^cd+date+++=1954
) ^zz++++=).
. ^zz++++=EXTRAWORD
Pragmati(ci)sm ^np+++??+=Pragmati(ci)sm
reminds ^vbz++++=reminds
us ^pp1o+pp1+++=us
that ^cs+sub+++=that
archaeologists ^vbz++++=archaeologists
do ^vb+do+aux++=do
not ^xnot++not++=not
have ^md"++pmd"++=have
to ^md+nec+++=to
read ^vb+vprv++xvbn+=read
the ^ati++++=the
minds ^nns++++=minds
of ^in++++=of
ancient ^jj+atrb+++=ancient
people ^nns++++=people
any ^dti++++=any
more ^rbr++++=more
than ^in++++=than
cultural ^jj+atrb+++=cultural
or ^cc+phrs+++=or
linguistic ^jj+atrb+++=linguistic
anthropologists ^nns++++=anthropologists
read ^vbd+vprv++xvbn+=read
the ^ati++++=the
minds ^nns++++=minds
of ^in++++=of
living ^xvbg+++xvbg+=living
informants ^nns++++=informants.
. ^zz++++=EXTRAWORD
Ideas ^nns++++=Ideas
and ^cc++++=and
thoughts ^nns++++=thoughts
in ^in++++=in
the ^ati++++=the
past ^nn++++=past
as ^in++++=as
well ^rb++++=well
as ^cs+sub+++=as
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
are ^vb+ber+vrb++=are
efficacious ^jj+pred+++=efficacious
only ^rb+down+++=only
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
materially ^rb++++=materially
observable ^jj+pred+++=observable.
. ^zz++++=EXTRAWORD
