Imitation ^nn+nom+++=Imitation
( ^zz++++=(direct
direct ^jj++++=EXTRAWORD
copying ^jj+++xvbg+=copying
of ^in++++=of
movement ^nn+nom+++=movement
sequences ^nns+nom+++=sequences
performed ^vwbn+++xvbn+=performed
by ^in++++=by
others ^aps++++=others)
) ^zz++++=EXTRAWORD
in ^in++++=in
contrast ^nn++++=contrast
to ^in++++=to
emulation ^nn+nom+++=emulation
( ^zz++++=(copying
copying ^jj+++xvbg+=EXTRAWORD
the ^ati++++=the
product ^nn++++=product
of ^in++++=of
a ^at++++=a
behavior ^nn++++=behavior
but ^cc++++=but
not ^xnot++not++=not
the ^ati++++=the
movements ^nns+nom+++=movements
themselves ^ppls+pp3+++=themselves)
) ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
decrease ^vb++++=decrease
copying ^vwbg+++xvbg+=copying
error ^nn++++=error
in ^in++++=in
the ^ati++++=the
reproduction ^nn+nom+++=reproduction
of ^in++++=of
a ^at++++=a
stone ^nn++++=stone
tool ^nn++++=tool
shape ^nn++++=shape
( ^zz++++=(
Lycett ^np++++=Lycett,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
propensity ^nn+nom+++=propensity
to ^to++++=to
imitate ^nn+nom+++=imitate
readily ^rb+cnj+++=readily,
, ^zz++++=EXTRAWORD
frequently ^rb+cnj+++=frequently,
, ^zz++++=EXTRAWORD
even ^rb++++=even
actions ^nns+nom+++=actions
that ^tht+rel+subj++=that
clearly ^rb++++=clearly
have ^vb+hv+vrb++=have
no ^at++++=no
direct ^jj+atrb+++=direct
function ^nn+nom+++=function,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
already ^rb++++=already
present ^jj+pred+++=present
in ^in++++=in
children ^nns++++=children
from ^in++++=from
a ^at++++=a
very ^ql+amp+++=very
young ^jj+atrb+++=young
age ^nn++++=age,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
the ^ati++++=the
importance ^nn+nom+++=importance
of ^in++++=of
this ^dt+dem+++=this
trait ^nn++++=trait
in ^in++++=in
the ^ati++++=the
ontogeny ^nn+++??+=ontogeny
of ^in++++=of
human ^jj+atrb+++=human
behavior ^nn++++=behavior
( ^zz++++=(
Horner ^np++++=Horner
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005
; ^zz++++=;
Vaesen ^np+++??+=Vaesen,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
; ^zz++++=;
Legare ^np+++??+=Legare
and ^cc++++=and
Nielsen ^np++++=Nielsen,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
) ^zz++++=).
. ^zz++++=EXTRAWORD
With ^in++++=With
regard ^nn++++=regard
to ^in++++=to
hand ^nn++++=hand
preference ^nn+nom+++=preference
and ^cc++++=and
imitation ^nn+nom+++=imitation,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
intuitively ^rb++++=intuitively
makes ^vbz++++=makes
sense ^nn++++=sense
that ^tht+ncmp+++=that
the ^ati++++=the
same ^ap++++=same-sided
- ^zz++++=EXTRAWORD
sided ^jj+atrb++xvbn+=EXTRAWORD
hand ^nn++++=hand
preference ^nn+nom+++=preference
of ^in++++=of
teacher ^nn++++=teacher
and ^cc++++=and
student ^nn++++=student
has ^vbz+hvz+vrb++=has
the ^ati++++=the
potential ^nn++++=potential
to ^to+ncmp+++=to
speed ^vb++++=speed
up ^rp++++=up
the ^ati++++=the
process ^nns+nom+++=process
of ^in++++=of
the ^ati++++=the
transmission ^nn++++=transmission
of ^in++++=of
skills ^nns++++=skills
for ^in++++=for
tool ^nn++++=tool
production ^nn+nom+++=production
and ^cc++++=and
tool ^nn++++=tool
use ^nn++++=use
. ^zz++++=.
This ^dt+pdem+++=This,
, ^zz++++=EXTRAWORD
in ^in++++=in
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
establish ^vb+vprv+++=establish
the ^ati++++=the
selection ^nn+nom+++=selection
pressure ^nn++++=pressure
necessary ^jj++++=necessary
to ^to+jcmp+++=to
shape ^vb++++=shape
a ^at++++=a
strong ^jj+atrb+++=strong
population ^nn+nom+++=population
bias ^nn++++=bias
towards ^in++++=towards
the ^ati++++=the
same ^ap++++=same
handedness ^nns+nom+++=handedness,
, ^zz++++=EXTRAWORD
also ^rb++++=also
called ^vbd+++xvbn+=called
the ^ati++++=the
apprenticeship ^nn+nom+++=apprenticeship
complexity ^nn+nom+++=complexity
theory ^nn++++=theory
( ^zz++++=(
Michel ^np++++=Michel
and ^cc++++=and
Harkins ^np+++??+=Harkins,
, ^zz++++=EXTRAWORD
1985 ^cd+date+++=1985
; ^zz++++=;
Bradshaw ^np+++??+=Bradshaw,
, ^zz++++=EXTRAWORD
1988 ^cd+date+++=1988
; ^zz++++=;
Uomini ^np+++??+=Uomini,
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
) ^zz++++=).
. ^zz++++=EXTRAWORD
Nonetheless ^rb+cnj+++=Nonetheless,
, ^zz++++=EXTRAWORD
like ^in++++=like
for ^in++++=for
the ^ati++++=the
previous ^jj+atrb+++=previous
hypothesis ^nn++++=hypothesis,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
not ^xnot++not++=not
explain ^vb+vpub+++=explain
whether ^cs+who+++=whether
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
either ^dtx++++=either
a ^at++++=a
rightor ^nn++++=rightor
left ^vpsv++agls+xvbn+=left-handedness
- ^zz++++=EXTRAWORD
handedness ^nns+nom+++=EXTRAWORD
bias ^nn++++=bias.
. ^zz++++=EXTRAWORD
