Controls ^vbz++++=Controls:
: ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
odorless ^nns+++??+=odorless
control ^nn++++=control
experiments ^nns++++=experiments,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
two ^cd++++=two
empty ^jj+atrb+++=empty
boxes ^nns++++=boxes
were ^vbd+bed+aux++=were
tested ^vpsv++agls+xvbnx+=tested
on ^in++++=on
B ^zz++++=B.
. ^zz++++=EXTRAWORD
corredori ^nn+++??+=corredori
( ^zz++++=(n=20),
n=20 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
orientation ^nn++++=orientation
did ^vbd+dod+aux++=did
not ^xnot++not++=not
significantly ^rb++++=significantly
differ ^vb++++=differ
from ^in++++=from
random ^jj++++=random
( ^zz++++=(left:
left ^jj+++xvbn+=EXTRAWORD
: ^zz++++=EXTRAWORD
9 ^zz++++=9,
, ^zz++++=EXTRAWORD
right ^jj++++=right:
: ^zz++++=EXTRAWORD
11 ^cd++++=11,
, ^zz++++=EXTRAWORD
p=0.160 ^np++++=P=0.160).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
