Collection ^nn++++=Collection
and ^cc++++=and
maintenance ^nn++++=maintenance
of ^in++++=of
cultures ^nns++++=cultures
Specimens ^nns++++=Specimens
of ^in++++=of
Bostrychia ^np+++??+=Bostrychia
binderi ^nn+++??+=binderi
Harvey ^np++++=Harvey
( ^zz++++=(BRASIL.
brasil ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Para ^nn++++=PARA
Ba ^np+++??+=BA:
: ^zz++++=EXTRAWORD
Rio ^np+++??+=Rio
Tinto ^np+++??+=Tinto,
, ^zz++++=EXTRAWORD
rea ^nn+++??+=rea
de ^&fw++++=de
Prote ^np+++??+=Prote
o ^zz++++=o
Ambiental ^np+++??+=Ambiental
da ^np++++=da
Barra ^np+++??+=Barra
do ^vb+do+vrb++=do
Rio ^np+++??+=Rio
Mamanguape ^np+++??+=Mamanguape,
, ^zz++++=EXTRAWORD
s ^zz++++=s.
. ^zz++++=EXTRAWORD
d ^zz++++=d.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Henrique ^np++++=Henrique
Douglas ^np++++=Douglas
dos ^nns+++??+=dos
Santos ^np++++=Santos
Borburema ^np+++??+=Borburema,
, ^zz++++=EXTRAWORD
Jpbn ^np+++??+=JPBN
63215 ^cd++++=63215)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
in ^in++++=in
the ^ati++++=the
mangrove ^nn+++??+=mangrove
of ^in++++=of
the ^ati++++=the
rea ^nn+++??+=rea
de ^&fw++++=de
Prote ^np+++??+=Prote
o ^zz++++=o
Ambiental ^np+++??+=Ambiental
da ^np++++=da
Barra ^np+++??+=Barra
do ^vb+do+vrb++=do
Rio ^np+++??+=Rio
Mamanguape ^np+++??+=Mamanguape
( ^zz++++=(6
6 ^zz++++=EXTRAWORD
46'15.00"s ^cd++++=46'15.00"S
and ^cc++++=and
34 ^cd++++=34
56'15.00"o ^cd++++=56'15.00"O)
) ^zz++++=EXTRAWORD
in ^in++++=in
February ^nr++++=February
2017 ^cd++++=2017.
. ^zz++++=EXTRAWORD
During ^in++++=During
field ^nn++++=field
collection ^nn++++=collection,
, ^zz++++=EXTRAWORD
most ^ap+emph+++=most
of ^in++++=of
the ^ati++++=the
estuarine ^nn++++=estuarine
sediment ^nn++++=sediment
was ^vbd+bedz+aux++=was
removed ^vbd+++xvbn+=removed
with ^in++++=with
in ^in++++=in
situ ^nn++++=situ
water ^nn++++=water.
. ^zz++++=EXTRAWORD
