Transport ^nn++++=Transport-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
physical ^jj+atrb+++=physical
activity ^nn+nom+++=activity
( ^zz++++=(walking,
walking ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
cycling ^vbg+nom++xvbg+=cycling,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
walking ^vbg+++xvbg+=walking
to ^to++++=to
and ^cc++++=and
from ^in++++=from
public ^jj+atrb+++=public
transport ^nn++++=transport)
) ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
suggested ^vpsv++agls+xvbnx+=suggested
as ^ql++++=as
a ^at++++=a
strategy ^nn++++=strategy
for ^in++++=for
increasing ^xvbg+++xvbg+=increasing
daily ^jj+atrb+++=daily
levels ^nns++++=levels
of ^in++++=of
physical ^jj+atrb+++=physical
activity ^nn+nom+++=activity
( ^zz++++=(
24 ^cd++++=24
, ^zz++++=,
65 ^cd++++=65
, ^zz++++=,
67 ^cd++++=67
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
benefits ^nns++++=benefits
of ^in++++=of
active ^jj+atrb+++=active
transportation ^nn+nom+++=transportation
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
quantified ^vpsv++agls+xvbnx+=quantified
in ^in++++=in
several ^ap++++=several
cities ^nns++++=cities
around ^in++++=around
the ^ati++++=the
world ^nn++++=world
and ^cc++++=and
have ^vb+hv+aux++=have
shown ^vprf+++xvbnx+=shown
both ^abx++++=both
direct ^jj+atrb+++=direct
benefits ^nns++++=benefits
for ^in++++=for
pedestrians ^nns++++=pedestrians
and ^cc++++=and
cyclists ^nns+nom+++=cyclists
and ^cc++++=and
broader ^jjr+atrb+++=broader
indirect ^jj+atrb+++=indirect
benefits ^nns++++=benefits
through ^in++++=through
improved ^vbd+++xvbn+=improved
air ^nn++++=air
quality ^nn+nom+++=quality
and ^cc++++=and
reduced ^jj+atrb++xvbn+=reduced
traffic ^nn++++=traffic
noise ^nn++++=noise
( ^zz++++=(
51 ^cd++++=51
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
impact ^nn++++=impact
of ^in++++=of
Avs ^np+++??+=AVs
on ^in++++=on
travel ^vb++++=travel
behavior ^nn++++=behavior
( ^zz++++=(and
and ^cc++++=EXTRAWORD
their ^pp$+pp3+++=their
corresponding ^jj+atrb++xvbg+=corresponding
impact ^nn++++=impact
on ^in++++=on
transport ^nn++++=transport-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
physical ^jj+atrb+++=physical
activity ^nn+nom+++=activity)
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
difficult ^jj+pred+++=difficult
to ^to+jcmp+++=to
predict ^vbi+vpub+++=predict.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
recent ^jj+atrb+++=recent
modeling ^nn+nom+++=modeling
studies ^nns++++=studies
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
Avs ^np+++??+=AVs
could ^md+pos+++=could
increase ^vb++++=increase
Vmts ^np+++??+=VMTs
by ^in++++=by
between ^in++++=between
15 ^cd++++=15%
% ^zz++++=EXTRAWORD
and ^cc++++=and
59 ^cd++++=59%
% ^zz++++=EXTRAWORD
and ^cc++++=and
reduce ^vb++++=reduce
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
public ^nn++++=public
and ^cc++++=and
active ^jj+atrb+++=active
transportation ^nn+nom+++=transportation
( ^zz++++=(
73 ^cd++++=73
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
these ^dt+dem+++=these
transportation ^nn+nom+++=transportation
models ^nns++++=models,
, ^zz++++=EXTRAWORD
private ^jj+atrb+++=private
Avs ^np+++??+=AVs
also ^rb++++=also
led ^vwbn+++xvbn+=led
to ^in++++=to
a ^at++++=a
more ^ql++++=more
dispersed ^jj+atrb++xvbn+=dispersed
urban ^jj+atrb+++=urban
growth ^nn++++=growth
pattern ^nn++++=pattern
( ^zz++++=(sprawl),
sprawl ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
could ^md+pos+++=could
increase ^vb++++=increase
trip ^nn++++=trip
distances ^nns+nom+++=distances,
, ^zz++++=EXTRAWORD
making ^xvbg+++xvbg+=making
walking ^vbg+++xvbg+=walking
and ^cc+phrs+++=and
cycling ^vbg+nom++xvbg+=cycling
less ^rbr++++=less
attractive ^jj++++=attractive
( ^zz++++=(
66 ^cd++++=66
) ^zz++++=).
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
some ^dti++++=some
studies ^nns++++=studies
also ^rb++++=also
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
Savs ^np+++??+=SAVs
could ^md+pos+++=could
decrease ^vb++++=decrease
Vmts ^np+++??+=VMTs
( ^zz++++=(in
in ^in++++=EXTRAWORD
the ^ati++++=the
range ^nn++++=range
of ^in++++=of
10 ^cd++++=10
25 ^cd++++=25%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
a ^at++++=a
large ^jj+atrb+++=large
share ^nn++++=share
of ^in++++=of
the ^ati++++=the
travelers ^nns+nom+++=travelers
are ^vb+ber+vrb++=are
willing ^jj+pred+++=willing
to ^to+jcmp+++=to
rideshare ^vb+++??+=rideshare
( ^zz++++=(
73 ^cd++++=73
) ^zz++++=).
. ^zz++++=EXTRAWORD
Savs ^np+++??+=SAVs,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
when ^wrb+who+++=when
utilized ^vbd+++xvbn+=utilized
through ^in++++=through
ridesharing ^xvbg+++xvbg+=ridesharing
or ^cc++++=or
ridesplitting ^xvbg+++xvbg+=ridesplitting,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
reduce ^vbi++++=reduce
transport ^nn++++=transport-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
physical ^jj+atrb+++=physical
activity ^nn+nom+++=activity
less ^rbr++++=less
than ^in++++=than
private ^jj+atrb+++=private
Avs ^np+++??+=AVs,
, ^zz++++=EXTRAWORD
as ^ql++++=as
this ^dt+dem+++=this
