68 ^cd++++=68
patients ^nns++++=patients
were ^vbd+bed+aux++=were
studied ^vpsv++agls+xvbnx+=studied.
. ^zz++++=EXTRAWORD
62 ^cd++++=62%
% ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
men ^nns++++=men
and ^cc++++=and
38 ^cd++++=38%
% ^zz++++=EXTRAWORD
women ^nns++++=women.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mean ^jj+atrb+++=mean
age ^nn++++=age
was ^vbd+bedz+vrb++=was
48.9 ^cd++++=48.9
13.3 ^cd++++=13.3
years ^nns++++=years.
. ^zz++++=EXTRAWORD
The ^ati++++=The
median ^jjb+atrb+++=median
systolic ^jj+atrb++??+=systolic
blood ^nn++++=blood
pressure ^nn++++=pressure
( ^zz++++=(SBP)
sbp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
120 ^cd++++=120
mmhg ^nn+++??+=mmHg
( ^zz++++=(95
95 ^cd++++=EXTRAWORD
to ^to++++=to
170 ^cd++++=170)
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
diastolic ^nn+++??+=diastolic
blood ^nn++++=blood
pressure ^nn++++=pressure
( ^zz++++=(DBP)
dbp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
80 ^cd++++=80
mmhg ^nn+++??+=mmHg
( ^zz++++=(60
60 ^cd++++=EXTRAWORD
- ^zz++++=-110).
110 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
heart ^nn++++=heart
rate ^nn++++=rate
was ^vbd+bedz+vrb++=was
76 ^cd++++=76
13 ^cd++++=13
beats ^nns++++=beats
per ^nnu++++=per
minute ^nn++++=minute
and ^cc++++=and
the ^ati++++=the
respiratory ^jj+atrb+++=respiratory
rate ^nn++++=rate
was ^vbd+bedz+vrb++=was
24 ^cd++++=24
( ^zz++++=(16
16 ^cd++++=EXTRAWORD
to ^to++++=to
40 ^cd++++=40).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Anosmia ^np+++??+=Anosmia
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
22 ^cd++++=22%
% ^zz++++=EXTRAWORD
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
15 ^cd++++=15)
) ^zz++++=EXTRAWORD
and ^cc++++=and
dysgeusia ^nn++++=dysgeusia
in ^in++++=in
19 ^cd++++=19%
% ^zz++++=EXTRAWORD
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
13 ^cd++++=13).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
